INSTITUTIONS,MEAN,MEDIAN,MODE,LOWER CI,UPPER CI,REGION,geo_rank,overall_rank,year ,,,
Johns Hopkins University,2.9,3,3,2.8,3,USA,31,41,2021,,,
Duke University,2.8,3,3,2.7,2.9,USA,33,44,2021,,,
"Indiana University, Bloomington",2.8,3,3,2.7,2.9,USA,33,44,2021,,,
"University of Connecticut, Storrs",2.8,3,3,2.7,2.9,USA,33,44,2021,,,
University of Miami,2.8,3,3,2.7,2.9,USA,33,44,2021,,,
University of Virginia,2.8,3,3,2.6,2.9,USA,33,44,2021,,,
Northwestern University,2.7,2.5,3,2.6,2.8,USA,38,50,2021,,,
"University of Maryland, College Park",2.7,3,3,2.6,2.8,USA,38,50,2021,,,
Boston University,2.6,2.5,2.5,2.5,2.7,USA,40,,2021,,,
Carnegie Mellon University,2.6,2.5,2,2.4,2.7,USA,40,,2021,,,
Syracuse University,2.6,2.5,2.5,2.5,2.7,USA,40,,2021,,,
"University of California, Santa Barbara",2.6,2.5,3,2.5,2.7,USA,40,,2021,,,
Florida State University,2.5,2.5,2.5,2.4,2.7,USA,44,,2021,,,
Rice University,2.5,2.5,2.5,2.3,2.6,USA,44,,2021,,,
"University of California, Davis",2.4,2.5,2.5,2.2,2.5,USA,46,,2021,,,
"University of Illinois, Chicago",2.4,2.5,2,2.2,2.5,USA,46,,2021,,,
"University of Minnesota, Minneapolis-St. Paul",2.4,2.5,2.5,2.3,2.5,USA,46,,2021,,,
University of Rochester,2.4,2.5,2.5,2.3,2.5,USA,46,,2021,,,
University of Utah,2.4,2.5,2,2.3,2.5,USA,46,,2021,,,
Arizona State University,2.3,2.5,2,2.2,2.5,USA,,,2021,,,
Texas A&M University,2.3,2.5,2.5,2.2,2.5,USA,,,2021,,,
Saint Louis University,2.2,2.5,2.5,2.1,2.3,USA,,,2021,,,
"University of Washington, Seattle",2.1,2,2,1.9,2.2,USA,,,2021,,,
Purdue University,2,2,2,1.9,2.2,USA,,,2021,,,
"University of Missouri, Columbia",2,2,2,1.9,2.2,USA,,,2021,,,
University of Cincinnati,1.9,2,2,1.7,2.1,USA,,,2021,,,
Temple University,1.6,1.5,1,1.4,1.7,USA,,,2021,,,
Oxford University,4.6,5,5,4.5,4.7,UK,1,2,2021,,,
Cambridge University,3.6,3.5,4,3.4,3.7,UK,2,20,2021,,,
University of St. Andrews/Stirling Joint Program,3.3,3.5,4,3.2,3.4,UK,3,28,2021,,,
University of Edinburgh,3.2,3.5,3,3.1,3.4,UK,4,31,2021,,,
"King's College, London",3.1,3,3.5,3,3.2,UK,5,32,2021,,,
University College London,2.9,3,3,2.8,3,UK,6,41,2021,,,
University of Leeds,2.8,3,3,2.7,2.9,UK,7,44,2021,,,
London School of Economics,2.7,3,3,2.5,2.9,UK,8,50,2021,,,
University of Bristol,2.7,2.5,3,2.5,2.8,UK,8,50,2021,,,
University of Warwick,2.7,2.5,2.5,2.5,2.8,UK,8,50,2021,,,
University of Birmingham,2.6,2.5,3,2.4,2.7,UK,11,,2021,,,
University of Durham,2.6,2.5,3,2.5,2.8,UK,11,,2021,,,
University of Glasgow,2.5,2.5,2,2.4,2.7,UK,13,,2021,,,
University of York,2.5,2.5,2.5,2.4,2.7,UK,13,,2021,,,
University of Manchester,2.4,2.5,2.5,2.3,2.5,UK,15,,2021,,,
University of Nottingham,2.4,2.5,2,2.2,2.5,UK,15,,2021,,,
University of Sheffield,2.4,2.5,3,2.3,2.6,UK,15,,2021,,,
"Birkbeck College, University of London",2.3,2.5,2,2.2,2.4,UK,,,2021,,,
University of Reading,2.1,2,2,2,2.3,UK,,,2021,,,
University of Toronto,4,4,4,3.9,4.1,Canada,1,8,2021,,,
University of British Columbia,3,3,3,2.9,3.1,Canada,2,36,2021,,,
University of Western Ontario,2.5,2.5,2,2.3,2.6,Canada,3,,2021,,,
McGill University,2.4,2.5,2.5,2.3,2.6,Canada,4,,2021,,,
University of Calgary,2.3,2,2,2.1,2.4,Canada,5,,2021,,,
"York University, Toronto",2.3,2,2,2.1,2.4,Canada,5,,2021,,,
"Queen's University, Kingston",2.2,2,2,2.1,2.4,Canada,,,2021,,,
University of Alberta,1.7,2,2,1.6,1.8,Canada,,,2021,,,
Australian National University,3.4,3.5,4,3.3,3.5,Australasia,1,25,2021,,,
University of Sydney,3.3,3,3,3.1,3.4,Australasia,2,28,2021,,,
Australian Catholic University/Dianoia Institute,3.1,3,3.5,2.9,3.2,Australasia,3,32,2021,,,
Monash University,2.4,2.5,2.5,2.2,2.5,Australasia,4,,2021,,,
University of Melbourne,2.2,2,2,2.1,2.4,Australasia,5,,2021,,,
National University of Singapore,2.1,2,2,2,2.3,Australasia,,,2021,,,
"Victoria University, Wellington",1.8,2,2,1.7,1.9,Australasia,,,2021,,,
University of Auckland,1.7,2,2,1.5,1.8,Australasia,,,2021,,,
University of Otago,1.5,1.5,1,1.4,1.7,Australasia,,,2021,,,
New York University,4.9,5,5,4.8,4.9,USA,1,1,2017,,,
"Rutgers University, New Brunswick",4.5,4.5,5,4.4,4.6,USA,2,2,2017,,,
Princeton University,4.3,4.5,,4.2,4.4,USA,3,4,2017,,,
"University of Michigan, Ann Arbor",4.2,4,4,4.1,4.3,USA,4,5,2017,,,
University of Pittsburgh,4.2,4,4,4.1,4.3,USA,4,5,2017,,,
Yale University,4.1,4,4,4,4.2,USA,6,7,2017,,,
Massachusetts Institute of Technology,4,4,4,3.9,4.1,USA,7,8,2017,,,
University of Southern California,4,4,4,3.9,4.1,USA,7,8,2017,,,
Columbia University,3.9,4,4,3.8,4,USA,9,10,2017,,,
Harvard University,3.9,4,4,3.8,4,USA,9,10,2017,,,
Stanford University,3.9,4,4,3.8,4,USA,9,10,2017,,,
"University of California, Berkeley",3.9,4,4,3.8,4,USA,9,10,2017,,,
"University of California, Los Angeles",3.9,4,4,3.8,4,USA,9,10,2017,,,
City University of New York Graduate Center,3.8,4,4,3.7,3.9,USA,14,16,2017,,,
"University of North Carolina, Chapel Hill",3.8,4,4,3.7,3.9,USA,14,16,2017,,,
University of Arizona,3.7,4,4,3.6,3.8,USA,16,18,2017,,,
University of Notre Dame,3.6,3.5,3.5,3.5,3.7,USA,17,19,2017,,,
Brown University,3.5,3.5,4,3.4,3.6,USA,18,21,2017,,,
"University of Texas, Austin",3.5,3.5,3.5,3.4,3.6,USA,18,21,2017,,,
"University of California, San Diego",3.4,3.5,4,3.3,3.5,USA,20,24,2017,,,
"University of California, Irvine",3.3,3.5,3,3.2,3.5,USA,21,26,2017,,,
University of Chicago,3.3,3.5,3.5,3.1,3.4,USA,21,26,2017,,,
"University of Wisconsin, Madison",3.3,3.5,3,3.2,3.4,USA,21,26,2017,,,
"Washington University, St. Louis",3.3,3.5,3,3.2,3.4,USA,21,26,2017,,,
Cornell University,3.2,3,3,3.1,3.3,USA,25,31,2017,,,
Duke University,3.2,3,3,3.1,3.3,USA,25,31,2017,,,
University of Pennsylvania,3.1,3,3,3,3.2,USA,27,34,2017,,,
"Indiana University, Bloomington",3,3,3,2.9,3.1,USA,28,36,2017,,,
Ohio State University,3,3,3,2.9,3.1,USA,28,36,2017,,,
"University of Colorado, Boulder",3,3,3,2.9,3,USA,28,36,2017,,,
"University of Massachusetts, Amherst",3,3,3,2.9,3.1,USA,28,36,2017,,,
Northwestern University,2.9,3,3,2.8,3.1,USA,32,41,2017,,,
"University of California, Riverside",2.9,3,3,2.8,3,USA,32,41,2017,,,
University of Virginia,2.9,3,3,2.8,3,USA,32,41,2017,,,
Carnegie Mellon University,2.8,3,2.5,2.6,3,USA,35,46,2017,,,
Georgetown University,2.8,3,3,2.6,3,USA,35,46,2017,,,
Syracuse University,2.8,2.5,2.5,2.7,2.9,USA,35,46,2017,,,
"University of Connecticut, Storrs",2.8,3,2.5,2.7,3,USA,35,46,2017,,,
University of Miami,2.8,3,2.5,2.7,2.9,USA,35,46,2017,,,
Johns Hopkins University,2.7,2.5,3,2.5,2.8,USA,40,,2017,,,
"University of Maryland, College Park",2.7,2.5,2.5,2.6,2.8,USA,40,,2017,,,
"University of California, Davis",2.6,2.5,2.5,2.5,2.7,USA,42,,2017,,,
"University of Illinois, Chicago",2.5,2.5,2.5,2.4,2.6,USA,43,,2017,,,
Boston University,2.4,2.5,2,2.3,2.6,USA,44,,2017,,,
Florida State University,2.4,2.5,2,2.3,2.5,USA,44,,2017,,,
Texas A&M University,2.4,2.5,2,2.3,2.5,USA,44,,2017,,,
"University of California, Santa Barbara",2.4,2.5,2.5,2.3,2.6,USA,44,,2017,,,
"University of Minnesota, Minneapolis-St. Paul",2.4,2.5,2,2.2,2.5,USA,44,,2017,,,
Saint Louis University,2.3,2.5,2.5,2.1,2.4,USA,49,,2017,,,
University of Rochester,2.3,2.5,2.5,2.2,2.4,USA,49,,2017,,,
University of Utah,2.2,2,2,2.1,2.4,USA,,,2017,,,
Arizona State University,2.1,2,2,2,2.2,USA,,,2017,,,
Purdue University,2.1,2,2,2,2.2,USA,,,2017,,,
University at Buffalo,2.1,2,2.5,2,2.2,USA,,,2017,,,
"University of Missouri, Columbia",2.1,2,2,2,2.2,USA,,,2017,,,
Rice University,2,2,2,1.9,2.1,USA,,,2017,,,
"University of Nebraska, Lincoln",2,2,2,1.9,2.1,USA,,,2017,,,
University of Kansas,1.8,2,2,1.7,1.9,USA,,,2017,,,
Oxford University,4.5,4.5,5,4.5,4.6,UK,1,2,2017,,,
Cambridge University,3.6,3.5,4,3.5,3.8,UK,2,19,2017,,,
University of St. Andrews/Stirling Joint Program,3.4,3.5,3,3.2,3.5,UK,3,24,2017,,,
"King's College, London",3.3,3.5,3,3.2,3.4,UK,4,26,2017,,,
University of Edinburgh,3.1,3,3,3,3.2,UK,5,34,2017,,,
London School of Economics,2.9,3,3,2.8,3.1,UK,6,41,2017,,,
University of Leeds,2.9,3,3,2.7,3,UK,6,41,2017,,,
University College London,2.8,3,3,2.7,2.9,UK,8,46,2017,,,
University of Birmingham,2.7,3,3,2.6,2.9,UK,9,,2017,,,
University of Bristol,2.7,2.5,3,2.5,2.8,UK,9,,2017,,,
University of Sheffield,2.6,2.5,2.5,2.5,2.7,UK,11,,2017,,,
University of Warwick,2.6,2.5,2.5,2.4,2.7,UK,11,,2017,,,
University of Durham,2.4,2.5,2.5,2.2,2.5,UK,13,,2017,,,
University of Manchester,2.4,2.5,2,2.3,2.6,UK,13,,2017,,,
University of York,2.4,2.5,2.5,2.3,2.5,UK,13,,2017,,,
"Birkbeck College, University of London",2.3,2.5,2,2.2,2.4,UK,,,2017,,,
University of Glasgow,2.3,2.5,2,2.1,2.4,UK,,,2017,,,
University of Reading,2.3,2.5,2,2,2.3,UK,,,2017,,,
University of Nottingham,2.2,2.5,2.5,2.1,2.4,UK,,,2017,,,
University of Toronto,3.9,4,4,3.8,4,Canada,1,10,2017,,,
University of British Columbia,3,3,3,2.8,3.1,Canada,2,36,2017,,,
University of Western Ontario,2.6,2.5,,2.5,2.7,Canada,3,,2017,,,
McGill University,2.5,2.5,2.5,2.4,2.7,Canada,4,,2017,,,
University of Calgary,2.3,2.5,2,2.2,2.4,Canada,5,,2017,,,
"Queen's University, Kingston",2,2,2,1.8,2.1,Canada,,,2017,,,
"York University, Toronto",2,2,2,1.9,2.1,Canada,,,2017,,,
University of Alberta,1.9,2,2,1.8,2.1,Canada,,,2017,,,
Australian National University,3.5,3.5,4,3.3,3.6,Australasia,1,21,2017,,,
University of Sydney,3.2,3,3,3,3.3,Australasia,2,31,2017,,,
Monash University,2.5,2.5,2.5,2.3,2.6,Australasia,3,,2017,,,
University of Melbourne,2.3,2.5,2,2.2,2.5,Australasia,4,,2017,,,
University of Auckland,2.1,2,2,1.9,2.2,Australasia,5,,2017,,,
"Victoria University, Wellington",1.9,2,2,1.7,2,Australasia,,,2017,,,
New York University,4.8,5,5,,,USA,1,1,2014,,,
Princeton University,4.4,4.5,4.5,,,USA,2,3,2014,,,
"Rutgers University, New Brunswick",4.4,4.5,5,,,USA,2,3,2014,,,
"University of Michigan, Ann Arbor",4.2,4,4,,,USA,4,5,2014,,,
Yale University,4.1,4,,,,USA,5,6,2014,,,
Harvard University,4,4,4,,,USA,6,7,2014,,,
University of Pittsburgh,4,4,4,,,USA,6,7,2014,,,
Stanford University,3.9,4,,,,USA,8,9,2014,,,
University of Southern California,3.9,4,4,,,USA,8,9,2014,,,
Columbia University,3.8,4,4,,,USA,10,11,2014,,,
"University of California, Berkeley",3.8,4,4,,,USA,10,11,2014,,,
"University of California, Los Angeles",3.8,4,4,,,USA,10,11,2014,,,
Massachusetts Institute of Technology,3.7,4,4,,,USA,13,15,2014,,,
University of Arizona,3.7,3.5,4,,,USA,13,15,2014,,,
"University of North Carolina, Chapel Hill",3.7,4,4,,,USA,13,15,2014,,,
City University of New York Graduate Center,3.6,3.5,4,,,USA,16,18,2014,,,
Cornell University,3.5,3.5,4,,,USA,17,19,2014,,,
University of Notre Dame,3.5,3.5,4,,,USA,17,19,2014,,,
"University of Texas, Austin",3.5,3.5,3.5,,,USA,17,19,2014,,,
Brown University,3.4,3.5,3.5,,,USA,20,23,2014,,,
University of Chicago,3.3,3.5,3.5,,,USA,21,24,2014,,,
"University of Wisconsin, Madison",3.3,3.5,3,,,USA,21,24,2014,,,
"University of California, San Diego",3.2,3,3,,,USA,23,27,2014,,,
Duke University,3,3,3,,,USA,24,29,2014,,,
"Indiana University, Bloomington",3,3,3,,,USA,24,29,2014,,,
"University of California, Irvine",3,3,3,,,USA,24,29,2014,,,
"Washington University, St. Louis",3,3,3,,,USA,24,29,2014,,,
Ohio State University,2.9,3,2.5,,,USA,28,34,2014,,,
"University of California, Riverside",2.9,3,3,,,USA,28,34,2014,,,
"University of Massachusetts, Amherst",2.9,3,3,,,USA,28,34,2014,,,
Northwestern University,2.8,3,3,,,USA,31,38,2014,,,
"University of Colorado, Boulder",2.8,3,3,,,USA,31,38,2014,,,
"University of Maryland, College Park",2.8,3,3,,,USA,31,38,2014,,,
University of Miami,2.8,3,3,,,USA,31,38,2014,,,
University of Pennsylvania,2.8,3,3,,,USA,31,38,2014,,,
University of Virginia,2.8,3,3,,,USA,31,38,2014,,,
Georgetown University,2.7,3,3,,,USA,37,47,2014,,,
Syracuse University,2.7,2.5,3,,,USA,37,47,2014,,,
"University of Connecticut, Storrs",2.7,2.5,2.5,,,USA,37,47,2014,,,
Carnegie Mellon University,2.6,2.5,2.5,,,USA,40,,2014,,,
Johns Hopkins University,2.6,2.5,3,,,USA,40,,2014,,,
"University of California, Davis",2.4,2.5,2.5,,,USA,42,,2014,,,
"University of California, Santa Barbara",2.4,2.5,2,,,USA,42,,2014,,,
"University of Illinois, Chicago",2.4,2.5,2.5,,,USA,42,,2014,,,
Florida State University,2.3,2.5,2.5,,,USA,45,,2014,,,
University of Rochester,2.3,2,2,,,USA,45,,2014,,,
Rice University,2.2,2,2,,,USA,47,,2014,,,
Saint Louis University,2.2,2,2,,,USA,47,,2014,,,
"University of Minnesota, Minneapolis-St. Paul",2.2,2,2,,,USA,47,,2014,,,
"University of Missouri, Columbia",2.2,2,2,,,USA,47,,2014,,,
Boston University,2.1,2,2,,,USA,,,2014,,,
Texas A&M University,2.1,2,2,,,USA,,,2014,,,
University of Utah,2.1,2,2,,,USA,,,2014,,,
Arizona State University,2,2,2,,,USA,,,2014,,,
Purdue University,2,2,2,,,USA,,,2014,,,
"University of Illinois, Urbana-Champaign",1.9,2,2,,,USA,,,2014,,,
"University of Washington, Seattle",1.9,2,2.5,,,USA,,,2014,,,
University of Cincinnati,1.8,2,2,,,USA,,,2014,,,
Emory University,1.4,1.5,2,,,USA,,,2014,,,
Oxford University,4.6,4.5,5,,,UK,1,2,2014,,,
Cambridge University,3.5,3.5,3.5,,,UK,2,19,2014,,,
University of St. Andrews/Stirling Joint Program,3.2,3,3,,,UK,3,27,2014,,,
University of Edinburgh,3,3,3,,,UK,4,29,2014,,,
"King's College, London",2.9,3,3,,,UK,5,34,2014,,,
London School of Economics,2.8,3,3,,,UK,6,38,2014,,,
University College London,2.8,3,3,,,UK,6,38,2014,,,
University of Birmingham,2.7,3,3,,,UK,8,47,2014,,,
University of Leeds,2.7,2.5,3,,,UK,8,47,2014,,,
University of Bristol,2.6,2.5,3,,,UK,10,,2014,,,
University of Sheffield,2.6,2.75,3,,,UK,10,,2014,,,
University of Warwick,2.4,2.5,,,,UK,12,,2014,,,
"Birkbeck College, University of London",2.3,2.5,2.5,,,UK,13,,2014,,,
University of Reading,2.3,2.5,2,,,UK,13,,2014,,,
University of York,2.3,2.5,2.5,,,UK,13,,2014,,,
University of Glasgow,2.1,2,2,,,UK,,,2014,,,
University of Manchester,2.1,2,2,,,UK,,,2014,,,
University of Aberdeen,2,2,2,,,UK,,,2014,,,
University of Durham,1.9,2,2,,,UK,,,2014,,,
University of Toronto,3.8,4,4,,,Canada,1,11,2014,,,
University of British Columbia,2.7,3,3,,,Canada,2,47,2014,,,
University of Western Ontario,2.7,3,3,,,Canada,2,47,2014,,,
McGill University,2.3,2.5,2.5,,,Canada,4,,2014,,,
University of Alberta,2.1,2,,,,Canada,5,,2014,,,
University of Calgary,2.1,2,,,,Canada,5,,2014,,,
Queen's University,1.9,2,2.5,,,Canada,,,2014,,,
University of Waterloo,1.9,2,2,,,Canada,,,2014,,,
Australian National University,3.3,3.5,3.5,,,Australasia,1,24,2014,,,
University of Sydney,2.8,3,3,,,Australasia,2,38,2014,,,
Monash University,2.1,2,2,,,Australasia,3,,2014,,,
University of Melbourne,2.1,2,2,,,Australasia,3,,2014,,,
University of Auckland,2,2,2,,,Australasia,5,,2014,,,
"Victoria University, Wellington",1.9,2,2,,,Australasia,,,2014,,,
National University of Singapore,1.7,2,2,,,Australasia,,,2014,,,
University of Otago,1.3,1.5,1,,,Australasia,,,2014,,,
New York University,4.8,5,,,,USA,1,1,2011,,,
"Rutgers University, New Brunswick",4.5,4.5,,,,USA,2,3,2011,,,
Princeton University,4.4,4.5,,,,USA,3,4,2011,,,
"University of Michigan, Ann Arbor",4.3,4.5,,,,USA,4,5,2011,,,
Harvard University,4.1,4,,,,USA,5,6,2011,,,
University of Pittsburgh,4.1,4,,,,USA,5,6,2011,,,
Massachusetts Institute of Technology,4,4,,,,USA,7,8,2011,,,
Yale University,4,4,,,,USA,7,8,2011,,,
Stanford University,3.9,4,,,,USA,9,10,2011,,,
"University of North Carolina, Chapel Hill",3.9,4,,,,USA,9,10,2011,,,
Columbia University,3.8,4,,,,USA,11,12,2011,,,
"University of California, Los Angeles",3.8,4,,,,USA,11,12,2011,,,
University of Southern California,3.8,4,,,,USA,11,12,2011,,,
City University of New York Graduate Center,3.7,4,,,,USA,14,15,2011,,,
Cornell University,3.7,4,,,,USA,14,15,2011,,,
University of Arizona,3.7,4,,,,USA,14,15,2011,,,
"University of California, Berkeley",3.7,4,,,,USA,14,15,2011,,,
University of Notre Dame,3.6,3.5,,,,USA,18,21,2011,,,
Brown University,3.5,3.5,,,,USA,19,22,2011,,,
University of Chicago,3.4,3.5,,,,USA,20,24,2011,,,
"University of Texas, Austin",3.4,3.5,,,,USA,20,24,2011,,,
"University of California, San Diego",3.2,3,,,,USA,22,27,2011,,,
"University of Wisconsin, Madison",3.2,3,,,,USA,22,27,2011,,,
Duke University,3.1,3,,,,USA,24,29,2011,,,
"Indiana University, Bloomington",3.1,3,,,,USA,24,29,2011,,,
Ohio State University,3.1,3,,,,USA,24,29,2011,,,
"University of Colorado, Boulder",3.1,3,,,,USA,24,29,2011,,,
"University of Massachusetts, Amherst",3.1,3,,,,USA,24,29,2011,,,
"University of California, Irvine",3,3,,,,USA,29,34,2011,,,
University of Pennsylvania,3,3,,,,USA,29,34,2011,,,
Northwestern University,2.9,3,,,,USA,31,38,2011,,,
"University of California, Riverside",2.9,3,,,,USA,31,38,2011,,,
"University of Maryland, College Park",2.9,3,,,,USA,31,38,2011,,,
University of Miami,2.9,3,,,,USA,31,38,2011,,,
"Washington University, St. Louis",2.9,3,,,,USA,31,38,2011,,,
Georgetown University,2.8,3,,,,USA,36,45,2011,,,
Johns Hopkins University,2.7,2.5,,,,USA,37,49,2011,,,
Syracuse University,2.7,3,,,,USA,37,49,2011,,,
University of Virginia,2.7,3,,,,USA,37,49,2011,,,
Carnegie Mellon University,2.6,2.5,,,,USA,40,,2011,,,
"University of California, Santa Barbara",2.6,2.5,,,,USA,40,,2011,,,
"University of Illinois, Chicago",2.6,2.5,,,,USA,40,,2011,,,
"University of Washington, Seattle",2.5,2.5,,,,USA,43,,2011,,,
Boston University,2.4,2.5,,,,USA,44,,2011,,,
Florida State University,2.4,2.5,,,,USA,44,,2011,,,
Rice University,2.4,2.5,,,,USA,44,,2011,,,
"University of California, Davis",2.4,2.5,,,,USA,44,,2011,,,
"University of Minnesota, Minneapolis-St. Paul",2.4,2.5,,,,USA,44,,2011,,,
University of Rochester,2.4,2.5,,,,USA,44,,2011,,,
"University of Connecticut, Storrs",2.3,2.5,,,,USA,50,,2011,,,
"University of Missouri, Columbia",2.3,2.5,,,,USA,,,2011,,,
"University of Illinois, Urbana-Champaign",2.2,2,,,,USA,,,2011,,,
"University of Nebraska, Lincoln",2.2,2,,,,USA,,,2011,,,
University of Utah,2.2,2,,,,USA,,,2011,,,
Purdue University,2.1,2,,,,USA,,,2011,,,
University of Iowa,1.8,2,,,,USA,,,2011,,,
Vanderbilt University,1.8,2,,,,USA,,,2011,,,
New School University,1.6,1.5,,,,USA,,,2011,,,
Pennsylvania State University,1.6,2,,,,USA,,,2011,,,
Oxford University,4.7,5,,,,UK,1,2,2011,,,
Cambridge University,3.5,3.5,,,,UK,2,22,2011,,,
University of St. Andrews/Stirling Joint Program,3.3,3.5,,,,UK,3,26,2011,,,
"King's College, London",3,3,,,,UK,4,34,2011,,,
University College London,3,3,,,,UK,4,34,2011,,,
"Birkbeck College, University of London",2.9,3,,,,UK,6,38,2011,,,
University of Leeds,2.9,3,,,,UK,6,38,2011,,,
University of Edinburgh,2.8,3,,,,UK,8,45,2011,,,
University of Sheffield,2.8,3,,,,UK,8,45,2011,,,
University of Reading,2.7,2.75,,,,UK,10,49,2011,,,
London School of Economics,2.6,2.5,,,,UK,11,,2011,,,
University of Warwick,2.6,2.5,,,,UK,11,,2011,,,
University of Bristol,2.5,2.5,,,,UK,13,,2011,,,
University of Nottingham,2.5,2.5,,,,UK,13,,2011,,,
University of York,2.4,2,,,,UK,15,,2011,,,
University of Aberdeen,2,2,,,,UK,,,2011,,,
University of Toronto,3.7,4,,,,Canada,1,15,2011,,,
McGill University,2.6,2.5,,,,Canada,2,,2011,,,
University of British Columbia,2.6,2.5,,,,Canada,2,,2011,,,
University of Western Ontario,2.6,2.5,,,,Canada,2,,2011,,,
"Queen's University, Kingston",2.1,2,,,,Canada,,,2011,,,
University of Alberta,2.1,2,,,,Canada,,,2011,,,
Australian National University,3.7,4,,,,Australasia,1,15,2011,,,
University of Sydney,2.8,3,,,,Australasia,2,45,2011,,,
University of Auckland,2.4,2.5,,,,Australasia,3,,2011,,,
Monash University,2.3,2.5,,,,Australasia,4,,2011,,,
University of Melbourne,2.3,2.5,,,,Australasia,,,2011,,,
"Victoria University, Wellington",2,2,,,,Australasia,,,2011,,,
New York University,4.9,5,,,,USA,1,1,2009,,,
"Rutgers University, New Brunswick",4.6,5,,,,USA,2,3,2009,,,
Princeton University,4.3,4.5,,,,USA,3,4,2009,,,
University of Pittsburgh,4.2,4,,,,USA,4,5,2009,,,
"University of Michigan, Ann Arbor",4.1,4,,,,USA,5,6,2009,,,
Harvard University,4,4,,,,USA,6,7,2009,,,
Massachusetts Institute of Technology,4,4,,,,USA,6,7,2009,,,
Yale University,3.9,4,,,,USA,8,9,2009,,,
Stanford University,3.8,4,,,,USA,9,10,2009,,,
"University of California, Berkeley",3.8,3.5,,,,USA,9,10,2009,,,
"University of California, Los Angeles",3.8,4,,,,USA,9,10,2009,,,
"University of North Carolina, Chapel Hill",3.8,4,,,,USA,9,10,2009,,,
Columbia University,3.7,4,,,,USA,13,14,2009,,,
University of Arizona,3.7,3.5,,,,USA,13,14,2009,,,
City University of New York Graduate Center,3.6,3.5,,,,USA,15,17,2009,,,
University of Notre Dame,3.6,3.5,,,,USA,15,17,2009,,,
Brown University,3.5,3.5,,,,USA,17,21,2009,,,
Cornell University,3.5,3.5,,,,USA,17,21,2009,,,
University of Southern California,3.5,3.5,,,,USA,17,21,2009,,,
"University of Texas, Austin",3.4,3.5,,,,USA,20,24,2009,,,
"University of California, San Diego",3.3,3.5,,,,USA,21,26,2009,,,
University of Chicago,3.3,3.5,,,,USA,21,26,2009,,,
"Indiana University, Bloomington",3.2,3,,,,USA,23,28,2009,,,
"University of California, Irvine",3.2,3,,,,USA,23,28,2009,,,
"University of Wisconsin, Madison",3.2,3,,,,USA,23,28,2009,,,
Duke University,3,3,,,,USA,26,33,2009,,,
Ohio State University,3,3,,,,USA,26,33,2009,,,
"University of Colorado, Boulder",3,3,,,,USA,26,33,2009,,,
"University of Massachusetts, Amherst",3,3,,,,USA,26,33,2009,,,
"University of California, Riverside",2.9,3,,,,USA,30,39,2009,,,
"University of Maryland, College Park",2.9,3,,,,USA,30,39,2009,,,
University of Pennsylvania,2.9,3,,,,USA,30,39,2009,,,
